True,Plant Name,Title,Description
180,Calla Lily,TOXICITY,This plant is considered toxic to pets and humans if ingested.
181,Calla Lily,WATER,Waterwhen 50% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.
182,Callisia Pink Panther,ADDITIONAL CARE,"The stems of this plant naturally trail, but pinching them back encourages branching and keeps the plant compact and full. To do this, simply cut through the stem between two leaves. Avoid getting the leaves wet, which can cause spotting or discoloration. If you notice the bold, striped coloration is fading, move the plant to an area with brighter indirect light."
183,Callisia Pink Panther,FOOD,"Feed monthly in the spring through fall with a general-purpose indoor plant fertilizer diluted to half strength. Before applying fertilizer in any form, make sure the soil is damp. No fertilizer is needed in the winter when growth naturally slows."
184,Callisia Pink Panther,HUMIDITY,"Your Callisia does well in average household humidity. However, if the air is very dry it will appreciate the occasional humidity boost."
185,Callisia Pink Panther,LIGHT,"Place your Callisia Pink Panther in indirect bright light, which will help maintain its distinctive coloring. It can tolerate direct light in the morning or late afternoon, but the harsh midday sun can burn its leaves."
186,Callisia Pink Panther,TEMPERATURE,Callisia prefers indoor temperatures between 60-85°F.
187,Callisia Pink Panther,TOXICITY,This plant is toxic to humans and pets if ingested.
188,Callisia Pink Panther,WATER,Water when the soil volume is 50% dry. Water thoroughly until you see it flow out of the drainage hole. Discard any excess water in the dish to discourage root rot.
189,Canary Island Ivy,ADDITIONAL CARE,Feel free to trim up your Ivy regularly to keep it in shape. Snip off trailing vines that are just too long with a pair of sharp scissors or pruning shears to keep your plant looking full. You’ll get a bushier plant this way. You can prune (cut) your plant back by as much as half at a time — you won’t hurt this robust plant at all.
190,Canary Island Ivy,FOOD,Ivy thrives when fed once per month in the spring and summer with a general purpose indoor plant fertilizer at ½ strength. No need to feed in the fall or winter when they are resting; fertilizer could do more harm than good.
191,Canary Island Ivy,HUMIDITY,"This plant loves to be misted with room-temperature water. Feel free to do this daily, especially in the winter when the air is very dry. Not only does misting provide humidity, but it also keeps the pests away."
192,Canary Island Ivy,LIGHT,"Ivy plants prefer bright indirect light but no direct sun as the foliage will burn. In lower light, the ivy will become leggy and sparse."
193,Canary Island Ivy,TEMPERATURE,Your Ivy prefers temperatures between 60-75°F.
194,Canary Island Ivy,TOXICITY,"Ivy is mildly toxic to humans and pets, typically, ingestion will cause mouth and stomach irritation and possible vomiting."
195,Canary Island Ivy,WATER,"Let the top 25-50% of soil dry before watering. Allow the water to flow freely from the drainage holes on the bottom of the pot. Always empty the saucer of any water. Ivy does not like its roots constantly wet. Crispy brown leaves indicate over-watering, and leaf drop indicates under-watering."
196,Carnivorous Trumpet Pitcher Judith Hindle,ADDITIONAL CARE,"If you do not have many insects in your home and want to give them a little treat, you can feed them a recently dead or live insect such as a fly, roach, or spider once every month. Make sure that the insect fits into the pitcher easily."
197,Carnivorous Trumpet Pitcher Judith Hindle,FOOD,"Your plant does not need any fertilizer, as it gains nutrition from the insects it traps and digests. Using fertilizer can actually harm your plant as it is not used to living in nutrient-rich soils."
198,Carnivorous Trumpet Pitcher Judith Hindle,HUMIDITY,"Your Pitcher Plant will greatly benefit from added humidity. They can tolerate lower humidity, but will often stop growing new pitchers and you might see some die-off of existing pitchers. You can add humidity for your pitcher plant by misting them, adding a humidifier nearby, or using a pebble tray."
199,Carnivorous Trumpet Pitcher Judith Hindle,LIGHT,"Your pitcher plant prefers bright light. The more light it receives, the darker the purple coloring will show. In less direct light, the pitchers will remain predominantly green. Bright light is when your plant gets at least 6+ hours of direct sun a day. You will find this kind of light in an unobstructed southern or western window."
200,Carnivorous Trumpet Pitcher Judith Hindle,TEMPERATURE,Your Pitcher Plant will grow best in temperatures above 50°F.
201,Carnivorous Trumpet Pitcher Judith Hindle,TOXICITY,Your Pitcher Plant is mildly toxic to humans and pets if ingested.
202,Carnivorous Trumpet Pitcher Judith Hindle,WATER,"Your pitcher plant likes to stay consistently moist. Do not allow it to dry out, but do not let it sit in water. Water thoroughly when 25% of the medium is dry with rain or distilled water until you see it flow out of the drainage hole. Keep the pitchers ¼ with filtered or rainwater to keep them from drying out."
203,Cast Iron Plant,ADDITIONAL CARE,The cast iron broad leaves can easily collect dust. Wipe down the plant or give it a shower monthly to prevent pests and dust buildup.
204,Cast Iron Plant,FOOD,"For best results, use a liquid houseplant fertilizer diluted to half the recommended strength once a month during the spring and summer. Never apply fertilizer to dry soil; always make sure the soil is damp before feeding your plant."
205,Cast Iron Plant,HUMIDITY,Your cast iron plant tolerates low to average household humidity.
206,Cast Iron Plant,LIGHT,"Your cast iron plant can grow in low and artificial light, but will perform best in bright to medium-bright indirect light. It can tolerate a few hours of direct morning sun, but avoid areas in which it will be exposed to harsh afternoon sun."
207,Cast Iron Plant,TEMPERATURE,Your cast iron prefers temperatures between 60-80°F. Avoid cold drafts and sudden temperature changes.
208,Cast Iron Plant,TOXICITY,Cast iron plants are not toxic to humans and pets.
209,Cast Iron Plant,WATER,"Water your cast iron plant when the top 50-75% of soil is dry. Water thoroughly, and be sure to empty the saucer of any excess water to prevent root rot."
210,Coffee Plant,ADDITIONAL CARE,"Coffee plants don’t need much pruning, but you should do some trimming every spring to ensure thick growth for the coming year."
211,Coffee Plant,FOOD,Fertilize your Coffee Plant once a month during spring and summer with a liquid fertilizer diluted to half strength.
212,Coffee Plant,HUMIDITY,"Your Coffee Plant loves a humid environment. Make sure to give them a daily misting, or add a humidifier nearby. Browning leaves could be a sign of low humidity."
213,Coffee Plant,LIGHT,"Your Coffee Plant prefers bright indirect sunlight, having developed in the lower levels of Ethiopian forests. Too much direct sunlight can brown the leaves."
214,Coffee Plant,TEMPERATURE,Coffee Plants prefer temperatures between 65–80°F.
215,Coffee Plant,TOXICITY,Coffee Plant leaves are toxic to both pets and humans.
216,Coffee Plant,WATER,Your Coffee Plant enjoys frequent waterings. Water when 25% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.
217,Cordyline,ADDITIONAL CARE,"Look out for a common problem called ‘tipping’ when the tips of the leaves dry out and turn brown. The most common cause is tap water, which contains salts, chlorine, fluoride, and other elements that may be harmful in excess. To prevent this, you can use distilled water or rainwater."
218,Cordyline,FOOD,"For best results, use a liquid houseplant fertilizer diluted to half the recommended strength once a month during the spring and summer. Never apply fertilizer to dry soil; always make sure the soil is damp before feeding your plant."
219,Cordyline,HUMIDITY,"Your cordyline needs a high humidity level. Mist the leaves regularly, place a humidifier nearby, or use a pebble tray to raise the humidity."
220,Cordyline,LIGHT,"Your cordyline will perform best in bright to medium-bright indirect light. Dark-colored cordylines can tolerate bright light once acclimated, but if your cordyline is variegated with lighter colors, indirect light is best. A sunny eastern window or a few feet away from a southern or western window is best."
221,Cordyline,TEMPERATURE,Your cordyline prefers temperatures between 65-85°F. Avoid cold drafts and sudden temperature changes.
222,Cordyline,TOXICITY,Your cordyline is considered to be toxic to pets and humans if ingested. Can cause stomach irritation and vomiting.
223,Cordyline,WATER,"Water your cordyline when the top 25-50% of soil is dry. Water thoroughly, and be sure to empty the saucer of any excess water to prevent root rot. Never let this tropical plant dry out all the way."
224,Croton Magnificent,ADDITIONAL CARE,"Don’t panic if your plant drops a few leaves upon arrival. Generally, the Croton Magnificent does not like to be moved, so a few falling leaves within a week doesn’t mean you are doing anything wrong."
225,Croton Magnificent,FOOD,"For best results, use a general houseplant fertilizer once in early spring, once in early summer, and again in mid-summer. Do not feed in the fall or winter."
226,Croton Magnificent,HUMIDITY,"Crotons appreciate a generous amount of humidity. You can boost the humidity by misting the leaves, placing a humidifier nearby, or adding a pebble tray."
227,Croton Magnificent,LIGHT,"Your Croton Magnificent will do best in a bright spot, as it needs lots of light (if possible 4-6 hrs. Per day) to produce all those colorful leaves! If your croton does not get enough light, you might find the plant grows tall and lanky with spare leaves lacking the rich, dark hues."
228,Croton Magnificent,TEMPERATURE,Your Croton Magnificent prefers temperatures between 60-70 degrees. Keep your Croton away from drafts and cold areas like a windowpane in the winter.
229,Croton Magnificent,TOXICITY,"Your Croton Magnificent is moderately toxic to pets and humans. Typically, ingestion will cause mouth and stomach irritation and possible vomiting."
230,Croton Magnificent,WATER,Water when the top 25%-50% of the soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.
231,Ctenanthe Lubbersiana,ADDITIONAL CARE,"If you notice a tip or edge burn often with a yellowish hue at the edge, especially on older leaves, it could be due to your tap water. To solve this, allow your tap water to stand overnight before watering so the chlorine and fluoride can evaporate. Remove any yellow leaves to keep your plant strong and growing. Do not use any shine products on the leaves, instead, clean leaves occasionally with a damp cloth."
232,Ctenanthe Lubbersiana,FOOD,"For best results, use a general houseplant fertilizer with iron every four weeks during the spring and summer. No fertilizer is necessary during winter when plant growth naturally slows."
233,Ctenanthe Lubbersiana,HUMIDITY,"Like many tropical indoor plants, your Ctenanthe prefers a spot with ample humidity. If leaf edges begin to curl or brown up, mist them with lukewarm water on a regular basis. Your bathroom or kitchen are perfect spots for your Ctenanthe because these areas tend to be more humid."
234,Ctenanthe Lubbersiana,LIGHT,"Your Ctenanthe will do best in medium to bright indirect light, but will tolerate lower light situations. Do not place this plant in direct sunlight as the leaves will burn."
235,Ctenanthe Lubbersiana,TEMPERATURE,Ctenanthes enjoy the warmth and prefer temperatures between 65-85 degrees. Avoid cold drafts and sudden temperature changes.
236,Ctenanthe Lubbersiana,TOXICITY,Ctenanthes are considered to be non-toxic.
237,Ctenanthe Lubbersiana,WATER,"For best results, water your Ctenanthe when the top 25-50% of soil is dry. This is not a drought-tolerant indoor plant, but it is relatively forgiving if you forget to water it from time to time. Extended periods of dryness can result in brown leaf tips or edges."
238,Dieffenbachia,ADDITIONAL CARE,"If you notice the tips or edges of your plant’s leaves are turning brown, it could be due to your tap water. You can prevent this by watering with filtered water or rainwater. Remove any yellow leaves to keep your plant strong and growing."
239,Dieffenbachia,FOOD,Fertilize your Dieffenbachia once per month during the spring and summer with a general purpose houseplant fertilizer diluted to half-strength. Be sure the soil is damp; never apply fertilizer to dry soil.
240,Dieffenbachia,HUMIDITY,The Dieffenbachia does fine in average household humidity. It won’t mind an added boost in humidity during the drier months of winter.
241,Dieffenbachia,LIGHT,"Your Dieffenbachia will do best in bright, indirect light. It can also tolerate lower light environments, though growth will slow. Avoid direct sunlight which can burn the leaves."
242,Dieffenbachia,TEMPERATURE,Your Dieffenbachia prefers temperatures between 60-80°F. Avoid cold drafts and sudden temperature changes.
243,Dieffenbachia,TOXICITY,Dieffenbachia are considered to be toxic to pets and humans if ingested.
244,Dieffenbachia,WATER,"Water your Dieffenbachia when the soil volume is 50-75% dry. Water thoroughly until it drips out the bottom of the pot, and remove excess water that accumulates in the saucer."
245,Domino Peace Lily,FOOD,Use a general houseplant fertilizer every month during the spring and summer. No fertilizer is necessary in the winter when plant growth naturally slows.
246,Domino Peace Lily,HUMIDITY,"Like many tropical indoor plants, your Peace Lily prefers a spot with ample humidity. If leaf edges begin to curl or brown, mist them with lukewarm water on a regular basis, or place a humidifier nearby. Your bathroom or kitchen are perfect spots for your Peace Lily because these areas tend to be more humid."
247,Domino Peace Lily,LIGHT,"Your Peace Lily Domino will do best in medium to bright indirect light. Never allow your plant to receive direct sunlight, as the leaves can burn."
248,Domino Peace Lily,TEMPERATURE,"Your Peace Lily prefers average room temperatures from 60-80 degrees. They are sensitive to cold drafts and blowing heat during the winter months, so keep them away from windows and heaters for best results."
249,Domino Peace Lily,TOXICITY,Peace Lily is considered to be toxic to animals and humans.
250,Domino Peace Lily,WATER,"Maintain a regular watering schedule and keep your Peace lily moist, but not wet or soggy. This is not a drought-tolerant plant, but it is relatively forgiving if you forget to water it from time to time. Extended periods of dryness can result in brown leaf tips or edges. Allow the top 50% of soil to dry between watering."
251,Dracaena Colorama,ADDITIONAL CARE,"Your Dracaena Colorama is sensitive to an excess of fluoride which is found in tap water and will present with brown or yellow margins of its leaves. If you do not have a filtration system, leaving the tap water in an open container overnight before watering can help remove some of the fluorides or use rainwater.
When the plant begins to outgrow its space you can regulate the height by cutting off the top to the desired height. The tall, bare cane looks odd for a while, but within a few weeks, new shoots appear as the foliage begins to regrow."
252,Dracaena Colorama,FOOD,This plant likes to be fed every two weeks in the spring and summer with a well-balanced plant food at half the recommended strength. No food is necessary during the winter when plant growth naturally slows. Always make sure the soil is damp before applying any fertilizer.
253,Dracaena Colorama,HUMIDITY,Your Dracaena Colorama will do well in average humidity environments but will appreciate regular misting.
254,Dracaena Colorama,LIGHT,"Your Dracaena Colorama prefers medium indirect sunlight. Too much direct light can burn the leaves. Pale leaves, slow growth, and small new leaves indicate it is not getting enough light."
255,Dracaena Colorama,TEMPERATURE,Your Dracaena likes comfortable room temperatures between 65-80 degrees. Do not allow the temperature to fall below 60 degrees.
256,Dracaena Colorama,TOXICITY,"Dracaena Colorama leaves are toxic to pets and humans. Typically, ingestion will cause mouth and stomach irritation with possible vomiting."
257,Dracaena Colorama,WATER,Water when the top 50%-75% of the soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.
258,Dragon's Tongue,ADDITIONAL CARE,"Dragon’s Tongue plants benefit from an occasional trim, which will encourage them to stay full and bushy. If you notice the coloration becoming dull, try moving the plant to a spot with brighter, indirect light."
259,Dragon's Tongue,FOOD,Feed once per month in the spring and summer with an all-purpose fertilizer for indoor plants. Do not apply fertilizer to dry soil.
260,Dragon's Tongue,HUMIDITY,"Your plant prefers higher than average household humidity. Add a pebble tray, group plants to create a humid microclimate, or place a humidifier nearby."
261,Dragon's Tongue,LIGHT,"Your Dragon’s Tongue prefers bright indirect light. It can adapt to lower light, but its purple coloring will fade."
262,Dragon's Tongue,TEMPERATURE,This plant prefers temperatures between 60-80°F. Keep it away from drafty windows and air vents.
263,Dragon's Tongue,TOXICITY,This plant is considered non-toxic and pet-friendly.
264,Dragon's Tongue,WATER,"Water your Dragon’s Tongue when 25% of the soil volume is dry. Water slowly, allowing it to soak into the soil until it drips out of the drainage hole. Discard any excess water that accumulates in the saucer."
265,Dwarf Banana Tree,ADDITIONAL CARE,"Wipe the large leaves down occasionally with a damp cloth as they tend to collect dust. Never use household cleaners, as they will clog the pores and burn leaves. Use plain water mixed with a bit of diluted dish soap in a spray bottle. Always remove the dead foliage from the plant and soil—this can provide a breeding ground for pests and disease. Do not expect to actually harvest fruit from your Banana Tree.  Indoors, your plant will not be in the right conditions to flower and grow fruit."
266,Dwarf Banana Tree,FOOD,"Feed your Banana Tree once a month with a diluted liquid fertilizer. They are known to grow fairly quickly, so this monthly food with help sustain their growth."
267,Dwarf Banana Tree,HUMIDITY,"This plant enjoys extra humidity, so feel free to mist daily or place a humidifier nearby.  Another option is to place the container on a pebble tray. Place pebbles an inch or so deep in a plate or tray filled with water. The pebbles keep the plant up out of the water and as the water evaporates, it creates humidity for the plant!"
268,Dwarf Banana Tree,LIGHT,"Your Dwarf Banana Tree prefers full sun 4-6 hours per day, if possible. Place it in a south-facing window where it will get the most light."
269,Dwarf Banana Tree,TEMPERATURE,Conditions ranging from 67-80  degrees are fine for your Banana Tree.
270,Dwarf Banana Tree,TOXICITY,The Dwarf Banana Tree is non-toxic to humans and pets.
271,Dwarf Banana Tree,WATER,"Allow your plant to dry 25-50% of the way down. Water thoroughly, allowing the water to flow from the drainage hole in the bottom of the pot and into the saucer. Be sure to empty the saucer of all water—never let the plant/roots sit in water it will lead to root rot."
272,Easter Lily,ADDITIONAL CARE,As the Easter lily grows it can become quite top-heavy. Stake your plant to help it reach its full height potential.
273,Easter Lily,FOOD,Feed your Easter lily fertilizer in the spring when new shoots emerge.
274,Easter Lily,HUMIDITY,Your Easter lily prefers a humid environment. Place a humidifier nearby or use a pebble tray. Avoid drafty areas and open vents.
275,Easter Lily,LIGHT,"Easter lilies love to be placed in indirect, bright sunlight. Too much light will burn the foliage, but too little light will cause the slow decline of the plant. Eastern light or a few feet back from a southern window is ideal."
276,Easter Lily,TEMPERATURE,"Easter lilies prefer cooler temperatures between 60-75°F. The cooler the temperature, the longer the blooms will last."
277,Easter Lily,TOXICITY,"Easter lilies are toxic to humans and pets if ingested. All parts of the Easter lily, including the pollen, are extremely toxic to cats."
278,Easter Lily,WATER,Easter lilies prefer to stay somewhat moist. Water when 50% of the soil volume is dry. Water thoroughly and discard excess water to avoid root rot.
279,Euonymus,ADDITIONAL CARE,"Once the blooms begin to wilt and die off in the fall and winter, you can prune them to maintain a nice shape. The Euonymus will need trimming from time to time. This should keep them full of leaves instead of looking leggy."
280,Euonymus,FOOD,"During the spring and summer, fertilize with a well-balanced fertilizer once a month."
281,Euonymus,HUMIDITY,"The leathery leaves of the euonymus plant can adapt to dry air, making it a great houseplant. However, your plant won’t mind added humidity especially in the winter months."
282,Euonymus,LIGHT,"Your euonymus will love bright, indirect sunlight. Avoid placing it in direct sunlight as this may cause the leaves to burn and turn white. Eastern exposure or a few feet back from a southern or western window is ideal."
283,Euonymus,TEMPERATURE,Euonymus plants do well in temperatures between 60-85°F.
284,Euonymus,TOXICITY,The euonymus plant is toxic to humans and pets if ingested.
285,Euonymus,WATER,Water when 50% of the soil volume is dry. Water thoroughly until you see it flow out of the drainage hole. Discard any excess water to avoid root rot. Your euonymus needs less water during the winter dormant season.
286,Fatsia Japonica,ADDITIONAL CARE,"Fatsia can be very quick growing during spring and summer. You can choose to prune it to keep it to a certain size. If you do not do this, you may find that it can outgrow its pot within 6 months to a year. Keep an eye on it and repot it when the time comes to keep your plant healthy."
287,Fatsia Japonica,FOOD,Feed your Fatsia 1-2 times a month during spring and summer with a general houseplant fertilizer.
288,Fatsia Japonica,HUMIDITY,"Your Fatsia will do fine with average room humidity, but will appreciate added humidity from a humidifier or occasional misting."
289,Fatsia Japonica,LIGHT,"Your Fatsia Japonica prefers bright indirect light when grown indoors. It can also tolerate a few hours of direct sunlight through a window as well. When grown outdoors, your Fatsia should be placed in a shady spot as direct sun may burn the leaves."
290,Fatsia Japonica,TEMPERATURE,Your Fatsia prefers average room temperatures of 60-75 degrees.
291,Fatsia Japonica,TOXICITY,"Fatsia is non-toxic according to the ASPCA. However, the sap may cause contact dermatitis in sensitive individuals, so use gloves when pruning and repotting, and wash your hands afterward."
292,Fatsia Japonica,WATER,Water your Fatsia when the soil is about 50-75% dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.
293,Fiddle Leaf Fig,ADDITIONAL CARE,"When pruning your plant, watch out for the milky latex substance that leaks out where cuts have occurred—this is a mildly toxic irritant. If you get the sap on your hands or skin, wash with warm water and soap immediately."
294,Fiddle Leaf Fig,FOOD,"For best results, feed your plant once during the spring and monthly throughout the summer. Over-fertilizing can cause the fiddle leaf fig to grow leggy and can even kill it. A little bit of food will go a long way to encourage growth and root health. No fertilizer is necessary during the winter when plant growth naturally slows."
295,Fiddle Leaf Fig,HUMIDITY,"The fiddle leaf fig does fine in average household humidity, but won’t mind an extra humidity boost."
296,Fiddle Leaf Fig,LIGHT,Keep your fiddle leaf fig in bright indirect light. This plant will not tolerate low light and its leaves will eventually yellow and drop. Close to an eastern window or acclimated to the direct light from a southern window is ideal.
297,Fiddle Leaf Fig,TEMPERATURE,Your fiddle leaf fig enjoys average room temperatures of 60-80°F. Avoid drafty areas or open vents.
298,Fiddle Leaf Fig,TOXICITY,Fiddle leaf figs are toxic to humans and pets if ingested.
299,Fiddle Leaf Fig,WATER,Water when 50-75% of the soil volume is dry. Always water thoroughly until it flows out of the drainage hole to encourage a healthy root system. Discard any excess water in the saucer.
300,Fittonia,ADDITIONAL CARE,"The creeping stems of Fittonia will naturally root into surrounding soil in the pot. In the spring, these rooted areas can be carefully cut out and potted separately to grow your collection."
301,Fittonia,FOOD,Feed every month in spring and summer with a general houseplant fertilizer diluted to half the recommended strength. No fertilizer is needed during the fall and winter months when growth naturally slows.
302,Fittonia,HUMIDITY,"Your Fittonia will appreciate higher humidity levels. You can boost the humidity with frequent misting, placing a humidifier nearby, or using a pebble tray. Another way to increase relative humidity is to group several humidity-loving plants together in a small area, creating a micro-climate."
303,Fittonia,LIGHT,"Your Fittonia prefers bright, indirect light. Lower light can cause it to lose some of its vibrant color and growth will slow. Too much light can burn the leaves."
304,Fittonia,TEMPERATURE,Your Fittonia will thrive in average room temperatures between 65-80 degrees. Avoid cold drafts and direct airflow from heaters in the winter months.
305,Fittonia,TOXICITY,Fittonia are non-toxic and pet-friendly.
306,Fittonia,WATER,"Your Fittonia loves water and to be consistently moist, but not soggy. Water thoroughly when the top 50% of soil is dry. If you let your Fittonia dry out too much, it will let you know with limp leaves. Not to worry! After a thorough watering, the leaves should soon perk up."
307,Fuchsia,ADDITIONAL CARE,"The fuchsia plant is susceptible to pests, such as aphids or spider mites. Check your plant regularly for any signs of pests. Infestations may be treated withInsecticidal SoaporNeem Oilto help keep pests at bay, following the directions on the label."
308,Fuchsia,FOOD,"Fertilize your fuchsia plant once per month beginning in the early spring through the summer and early fall. Once the plant begins to bud, you can switch over to “bloom” formula fertilizers. No fertilizer is needed in the fall and winter seasons when growth slows."
309,Fuchsia,HUMIDITY,Fuchsias enjoy high humidity. Place a humidifier nearby or use a pebble tray.
310,Fuchsia,LIGHT,"Outdoors, the fuchsia plant thrives in a bright but shaded area. It can tolerate a few hours of morning sun, but avoid exposure to direct sun in the afternoon. As an indoor plant, keep your fuchsia in bright indirect sunlight."
311,Fuchsia,TEMPERATURE,The fuchsia plant enjoys temperatures between 55-80°F.
312,Fuchsia,TOXICITY,Fuchsias are non toxic to humans and pets
313,Fuchsia,WATER,Water your fuchsia when the soil volume is 25% dry. Water thoroughly and discard any excess water that accumulates in the saucer. Water more sparingly in the winter.
314,Fuzzy Petiole,ADDITIONAL CARE,"This plant is easily propagated through cuttings to make new plants or help fill out the mother plants. Since these are climbers, you can add plant stakes or a moss pole to encourage larger leaf growth."
315,Fuzzy Petiole,FOOD,"Feed your Philodendron monthly in the spring and summer with a general-purpose fertilizer. No fertilizer is needed in the fall and winter months when the plants are dormant. Always fertilize on moist soil, never dry, as it can burn the roots."
316,Fuzzy Petiole,HUMIDITY,"Average household humidity is fine for your Philodendron, but higher humidity encourages larger leaves. Your plants will benefit from a pebble tray or adding a humidifier."
317,Fuzzy Petiole,LIGHT,"Your Philodendron prefers indirect bright light, but the Philodendrons can adapt to lower light. These plants can only tolerate some direct sun in the morning; extended periods of direct light can burn the foliage."
318,Fuzzy Petiole,TEMPERATURE,"Your Philodendron will grow well in temperatures between 65-80°F. Keep away from drafts, especially during the winter months."
319,Fuzzy Petiole,TOXICITY,Philodendrons are toxic to humans and pets if ingested.
320,Fuzzy Petiole,WATER,"Water your Philodendron when the soil volume is 50-75% dry. Water thoroughly until water comes out of the drainage holes, and be sure to empty the saucer of any excess water. These plants are sensitive to overwatering—if the soil remains constantly wet, the roots will rot."
321,Gardenia,ADDITIONAL CARE,"For the most prolific blooming year after year, provide a cold period for your Gardenia. Also known as vernalization, a cold period signals the plant to begin winter dormancy. Prolonged exposure to outdoor autumn temperatures below 55°F will do the trick. Bring your plant indoors once night temperatures dip below 45°F. Keep the plant in a bright spot, water sparingly, and do not fertilize. Your Gardenia will not grow quickly, if at all, over the winter. Begin fertilizing it again in the early spring and move it outdoors once temperatures stay above 55°F."
322,Gardenia,FOOD,"Feed your Gardenia once per month in the spring and summer with a balanced fertilizer. We recommend an acidifying fertilizer, like one formulated for Azalea or Camellia."
323,Gardenia,HUMIDITY,"For most areas of the US, your Gardenia will not require added humidity in an outdoor environment. For desert regions, mist your Gardenia frequently or use a pebble tray to boost humidity."
324,Gardenia,LIGHT,"Your Gardenia prefers partial shade, with 4-6 hours of direct sun per day. The soft morning sun is best, so an east-facing exposure is best. Avoid exposure to the harsh afternoon sunlight, which can scorch the delicate blooms. Your Gardenia can also thrive in areas with light shade throughout the day."
325,Gardenia,TEMPERATURE,"Gardenias grow best in temperatures above 60°F. The foliage can be damaged at temperatures below 45°F. We recommend keeping your Gardenia indoors in a bright spot until night temperatures are consistently above 55°F. In very hot weather, the plant may pause its flowering."
326,Gardenia,TOXICITY,The Gardenia is considered mildly toxic to pets and humans if ingested.
327,Gardenia,WATER,"Water your Gardenia with 50% of the soil volume is dry. Water slowly, allowing it to absorb into the soil until it begins to drip out of the drainage hole. Do not use a saucer outdoors or allow the pot to sit in standing water."
328,Geo Plant,ADDITIONAL CARE,"Keep the large, shiny leaves free of dust and debris by occasionally wiping them down with a soft cloth and water. The oldest leaves may yellow as the plant produces new growth. This is normal, and any yellowing leaves can be removed with clean, sharp snips."
329,Geo Plant,FOOD,Feed once per month in the spring and summer with an all-purpose fertilizer for indoor plants. Do not apply fertilizer to dry soil.
330,Geo Plant,HUMIDITY,"Your Geo Plant prefers higher than average household humidity. Add a pebble tray, group plants to create a humid microclimate, or place a humidifier nearby."
331,Geo Plant,LIGHT,Your Geo Plant prefers bright indirect light. Avoid extended exposure to direct sunlight which may cause its leaves to scorch.
332,Geo Plant,TEMPERATURE,"Your Geo Plant prefers temperatures between 60-75°F. Keep away from drafts and air vents, especially during the winter months."
333,Geo Plant,TOXICITY,This plant is considered non-toxic and pet-friendly.
334,Geo Plant,WATER,"Water when 25-50% of the soil volume is dry. Water slowly, allowing it to soak into the soil until it drips out of the drainage hole. Discard any excess water that accumulates in the saucer."
335,Goldfish Plant,ADDITIONAL CARE,Prune back your plant often to encourage new blooms!
336,Goldfish Plant,FOOD,"For best results, use a liquid houseplant fertilizer diluted to half the recommended strength once a month during the spring and summer. Never apply fertilizer to dry soil; always make sure the soil is damp before feeding your plant."
337,Goldfish Plant,HUMIDITY,"Your goldfish plant will do well in a humid environment. Add a pebble tray, group it with other plants, or place a humidifier nearby."
338,Goldfish Plant,LIGHT,Your goldfish plant will do best in a bright indirect light location to encourage maximum flowering. It can grow leggy and lose blooms in lower light.
339,Goldfish Plant,TEMPERATURE,Your goldfish plant will do best in temperatures between 65-85°F.
340,Goldfish Plant,TOXICITY,This plant is non-toxic to pets.
341,Goldfish Plant,WATER,Water your goldfish plant when the soil volume is 50% dry. Always water thoroughly and evenly until water flows out of the drainage hole. Be sure to discard excess water in the saucer.
342,Green Hoya,ADDITIONAL CARE,"When Hoya plants mature, they will produce clusters of star-shaped flowers from their tendrils. Do not remove the spent flower stems or tendrils after your Hoya blooms–it will produce flowers on those stems again the next time it blooms. Also, do not move the Hoya after it begins to develop new flower buds. Moving the Hoya could disturb it and cause it to drop the buds before they open."
343,Green Hoya,FOOD,"For best results, use a general-purpose liquid houseplant fertilizer at half strength once every month during the spring and summer. There is no need to feed your plant in the winter when growth naturally slows. Before applying any form of fertilizer make sure the soil is damp. Never apply fertilizer to dry soil."
344,Green Hoya,HUMIDITY,Your Hoya Plant will do just fine in average household humidity.
345,Green Hoya,LIGHT,"Your Hoya will thrive in medium to bright indirect light.  It can tolerate lower light but will likely produce flowers if placed in brighter light. The more light it receives, the more vibrant the foliage and the more flowers it will produce."
346,Green Hoya,TEMPERATURE,"The ideal room temperature for your Hoya is between 60-85 degrees. If the temperature falls below 55 degrees, it will stop growing. Avoid drafts and direct air from heating and cooling vents."
347,Green Hoya,TOXICITY,Hoya Plants are non-poisonous to humans and pets.
348,Green Hoya,WATER,"Water your Hoya when the pot becomes completely dry.  Water thoroughly until water flows from the drainage hole on the bottom of the pot. Discard any excess water in the saucer. If your Hoya begins to drop its leaves, most likely it is being watered too much. Hoyas require less water in the winter months."
349,Hibiscus,ADDITIONAL CARE,"Hibiscus cannot survive winter throughout most of the US. Bring indoors when the temperatures dip below 50°F. Your plant will not grow much indoors, so water sparingly and do not fertilize over the winter. The plant can be moved outdoors when temperatures warm in the spring."
350,Hibiscus,FOOD,"Feed every two weeks in the spring and summer with a balanced water-soluble fertilizer. For maximum flowering, use a bloom-boosting fertilizer that is high in phosphorus."
